_id,person_id,company,coll_name,year_film,year_ceremony,ceremony,category,name,film,winner,movie_id
5f8ed8c6dc50381ff76836f0,11148,false,oscar,1995,1996,68,ACTRESS IN A SUPPORTING ROLE,joan allen,"[""nixon""]",false,10858
5f8ed8c6dc50381ff76836f2,4173,false,oscar,1995,1996,68,ACTOR IN A LEADING ROLE,anthony hopkins,"[""nixon""]",false,10858
5f8ed8c6dc50381ff768370e,17786,false,oscar,1995,1996,68,WRITING (Screenplay Written Directly for the Screen),stephen j. rivele,"[""nixon""]",false,10858
5f8ed8c6dc50381ff7683711,491,false,oscar,1995,1996,68,MUSIC (Original Dramatic Score),john williams,"[""nixon""]",false,10858
5f8ed8c6dc50381ff7683715,1152,false,oscar,1995,1996,68,WRITING (Screenplay Written Directly for the Screen),oliver stone,"[""nixon""]",false,10858
5f8ed8c6dc50381ff7683752,1204,false,oscar,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,julia roberts,"[""steel"",""magnolias""]",false,10860
5f8ed8c6dc50381ff7683a2b,5293,false,oscar,2000,2001,73,ACTOR IN A SUPPORTING ROLE,willem dafoe,"[""shadow"",""of"",""the"",""vampire""]",false,10873
5f8ed8c6dc50381ff7683a50,3769,false,oscar,1989,1990,62,CINEMATOGRAPHY,michael ballhaus,"[""the"",""fabulous"",""baker"",""boys""]",false,10875
5f8ed8c6dc50381ff7683a60,1160,false,oscar,1989,1990,62,ACTRESS IN A LEADING ROLE,michelle pfeiffer,"[""the"",""fabulous"",""baker"",""boys""]",false,10875
5f8ed8c6dc50381ff7683a63,2241,false,oscar,1989,1990,62,FILM EDITING,william steinkamp,"[""the"",""fabulous"",""baker"",""boys""]",false,10875
5f8ed8c6dc50381ff7683a6f,11456,false,oscar,2000,2001,73,ART DIRECTION,martin childs,"[""quills""]",false,10876
5f8ed8c6dc50381ff7683a76,118,false,oscar,2000,2001,73,ACTOR IN A LEADING ROLE,geoffrey rush,"[""quills""]",false,10876
5f8ed8c6dc50381ff7683a78,958488,false,oscar,2000,2001,73,COSTUME DESIGN,jacqueline west,"[""quills""]",false,10876
5f8ed8c6dc50381ff7683a7b,11460,false,oscar,2000,2001,73,ART DIRECTION,jill quertier,"[""quills""]",false,10876
5f8ed8c6dc50381ff7683c9d,4800,false,oscar,1980,1981,53,ACTRESS IN A LEADING ROLE,gena rowlands,"[""gloria""]",false,10889
5f8ed8c6dc50381ff7683fd1,8715,false,oscar,1938,1939,11,FILM EDITING,ralph dawson,"[""the"",""adventures"",""of"",""robin"",""hood""]",true,10907
5f8ed8c6dc50381ff7683fd4,67429,false,oscar,1938,1939,11,MUSIC (Original Score),erich wolfgang korngold,"[""the"",""adventures"",""of"",""robin"",""hood""]",true,10907
5f8ed8c6dc50381ff7684112,1190635,false,oscar,1952,1953,25,ACTRESS IN A SUPPORTING ROLE,colette marchand,"[""moulin"",""rouge""]",false,10910
5f8ed8c6dc50381ff7684115,12515,false,oscar,1952,1953,25,ACTOR,josé ferrer,"[""moulin"",""rouge""]",false,10910
5f8ed8c6dc50381ff7684116,3632,true,oscar,1952,1953,25,BEST MOTION PICTURE,romulus films,"[""moulin"",""rouge""]",false,10910
5f8ed8c6dc50381ff768411b,6593,false,oscar,1952,1953,25,DIRECTING,john huston,"[""moulin"",""rouge""]",false,10910
5f8ed8c6dc50381ff768411d,6604,false,oscar,1952,1953,25,FILM EDITING,ralph kemplen,"[""moulin"",""rouge""]",false,10910
5f8ed8c6dc50381ff768440f,8422,false,oscar,1979,1980,52,MUSIC (Original Song),david shire,"[""the"",""promise""]",false,109251
5f8ed8c6dc50381ff7684420,11128,false,oscar,1951,1952,24,ACTOR,arthur kennedy,"[""bright"",""victory""]",false,109258
